               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.69799,             0.63547,             0.71376,             0.48103,            0.040559,            0.037131,           0.0095739,              0.0937,              0.0007,              0.0007
                   1,            0.043833,            0.061739,            0.017214,             0.75787,             0.63618,             0.74046,             0.50189,            0.039955,            0.036483,           0.0086428,            0.086485,           0.0014851,           0.0014851
                   2,            0.044757,            0.070137,            0.015992,             0.82135,             0.62603,             0.74421,              0.4997,            0.039678,            0.035914,           0.0079105,            0.079254,           0.0022545,           0.0022545
                   3,            0.044038,            0.062046,            0.013605,             0.81098,             0.64851,             0.75914,             0.51013,            0.039845,            0.035746,           0.0073106,            0.072008,           0.0030079,           0.0030079
                   4,            0.044532,            0.060826,            0.013259,             0.81841,             0.66135,             0.77464,             0.51722,            0.039676,            0.035236,           0.0067465,            0.064746,           0.0037456,           0.0037456
                   5,            0.045309,            0.056119,            0.013643,             0.78085,             0.71321,             0.78961,              0.4988,            0.041582,            0.033826,           0.0062746,            0.057467,           0.0044673,           0.0044673
                   6,            0.045337,            0.050455,            0.013334,             0.73457,             0.72404,             0.77471,             0.46525,            0.043037,            0.033689,           0.0062012,            0.050173,           0.0051733,           0.0051733
                   7,            0.047761,            0.060113,            0.010301,              0.7633,             0.73733,             0.78985,             0.49648,            0.042622,            0.032862,           0.0056371,            0.042863,           0.0058634,           0.0058634
                   8,            0.047441,            0.058361,            0.012353,             0.73099,             0.74529,             0.78921,             0.49369,            0.044236,            0.032854,           0.0053871,            0.035538,           0.0065377,           0.0065377
                   9,            0.046453,            0.054759,            0.010089,             0.73748,             0.77903,             0.80495,             0.49434,            0.043209,            0.032658,           0.0054686,            0.028196,           0.0071961,           0.0071961
                  10,            0.048144,            0.062161,            0.010171,              0.7727,             0.75891,             0.81217,             0.47954,            0.045812,             0.03111,            0.005146,            0.020839,           0.0078387,           0.0078387
                  11,            0.047627,            0.055202,           0.0099091,             0.77935,             0.77303,             0.80208,             0.51734,            0.043581,            0.030688,           0.0051571,            0.013465,           0.0084655,           0.0084655
                  12,            0.046415,            0.049973,            0.011717,             0.81175,             0.77017,             0.82751,              0.5376,            0.041624,            0.029933,           0.0049394,            0.008812,            0.008812,            0.008812
                  13,            0.046677,            0.055467,            0.011076,             0.82481,             0.76535,             0.82789,             0.54241,            0.041753,             0.02961,           0.0050217,            0.008812,            0.008812,            0.008812
                  14,             0.04615,            0.048424,           0.0097643,             0.82052,             0.76563,               0.845,             0.53709,            0.042331,            0.029851,           0.0051386,            0.008713,            0.008713,            0.008713
                  15,            0.045327,            0.051596,           0.0095472,             0.80216,             0.78981,             0.83338,             0.53739,            0.042374,            0.029536,           0.0051036,            0.008614,            0.008614,            0.008614
                  16,            0.046765,            0.048562,            0.009805,             0.86207,             0.76881,             0.84593,             0.54726,            0.039914,            0.029375,           0.0050784,            0.008515,            0.008515,            0.008515
                  17,            0.043666,            0.048359,            0.010097,               0.878,             0.77573,             0.86309,             0.56174,            0.039167,            0.028895,           0.0047783,            0.008416,            0.008416,            0.008416
                  18,            0.043697,            0.049295,           0.0096663,             0.84448,             0.80338,             0.86862,             0.56648,            0.038119,            0.028569,           0.0047356,            0.008317,            0.008317,            0.008317
                  19,            0.041497,             0.04924,            0.010625,             0.87022,             0.76496,             0.86422,             0.55526,            0.041733,            0.028435,           0.0046152,            0.008218,            0.008218,            0.008218
                  20,            0.043049,            0.046893,           0.0099103,             0.84474,             0.81387,             0.86919,             0.54785,            0.040106,            0.028104,           0.0045089,            0.008119,            0.008119,            0.008119
                  21,            0.045796,            0.045816,            0.008765,              0.8319,             0.81151,             0.86592,             0.56628,            0.039772,            0.028131,           0.0045402,             0.00802,             0.00802,             0.00802
                  22,            0.043549,             0.04984,           0.0092162,             0.83015,              0.8228,             0.86427,             0.55656,            0.038182,            0.027554,           0.0044827,            0.007921,            0.007921,            0.007921
                  23,            0.041786,            0.045806,           0.0081572,             0.83409,             0.84509,             0.87536,             0.56771,            0.039201,            0.027529,           0.0046169,            0.007822,            0.007822,            0.007822
                  24,            0.040935,            0.048681,            0.008991,              0.8017,             0.84816,             0.87628,             0.56381,            0.038511,            0.027251,            0.004478,            0.007723,            0.007723,            0.007723
                  25,            0.042755,            0.040553,            0.008739,             0.79371,             0.82694,             0.86658,             0.56086,            0.039866,            0.027355,           0.0043948,            0.007624,            0.007624,            0.007624
