               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036252,            0.017549,            0.093159,           0.0036804,             0.71692,           0.0042356,            0.001532,            0.021337,           0.0085078,            0.046057,            0.070059,           0.0033268,           0.0033268
                   1,            0.022473,            0.010823,             0.09142,           0.0037616,             0.74034,           0.0044045,           0.0016204,            0.019408,           0.0099145,            0.045932,            0.039729,           0.0063304,           0.0063304
                   2,            0.020713,           0.0095535,            0.090518,           0.0036984,             0.73321,           0.0044319,           0.0016223,            0.019966,            0.011386,             0.04582,           0.0090696,           0.0090041,           0.0090041
                   3,            0.018389,           0.0092123,            0.090385,           0.0037317,             0.74346,           0.0045719,           0.0017831,            0.019719,            0.011939,            0.045768,            0.008515,            0.008515,            0.008515
                   4,            0.016295,           0.0087038,            0.088767,           0.0038016,              0.7471,           0.0045492,           0.0016907,            0.019641,            0.013279,            0.045735,            0.008515,            0.008515,            0.008515
                   5,             0.01536,           0.0084609,            0.089931,            0.003744,             0.73626,           0.0046288,           0.0017026,            0.020296,              0.0142,            0.045725,             0.00802,             0.00802,             0.00802
                   6,             0.01393,           0.0081586,            0.089596,           0.0037347,              0.7337,           0.0045433,           0.0017667,            0.019885,            0.014394,            0.045722,            0.007525,            0.007525,            0.007525
                   7,            0.013114,           0.0078439,            0.088963,           0.0037875,             0.74374,           0.0046126,           0.0017482,            0.020185,            0.013755,            0.045639,             0.00703,             0.00703,             0.00703
                   8,            0.013178,            0.007688,            0.090404,           0.0037962,             0.74556,           0.0046954,           0.0017925,            0.019517,            0.014341,            0.045573,            0.006535,            0.006535,            0.006535
                   9,            0.012254,           0.0075159,            0.089609,           0.0037815,             0.74294,           0.0047671,           0.0017979,            0.019908,            0.014288,             0.04558,             0.00604,             0.00604,             0.00604
                  10,            0.011769,           0.0073894,            0.088638,           0.0037774,             0.74257,           0.0047468,           0.0017748,            0.019502,            0.015231,            0.045524,            0.005545,            0.005545,            0.005545
                  11,            0.010963,           0.0072753,            0.087698,           0.0037524,             0.73689,           0.0047806,           0.0017757,            0.020124,            0.014753,            0.045519,             0.00505,             0.00505,             0.00505
                  12,            0.011359,           0.0071389,            0.089179,           0.0037654,             0.73948,           0.0046621,           0.0017455,            0.019812,            0.014376,            0.045503,            0.004555,            0.004555,            0.004555
                  13,            0.010657,           0.0070885,            0.088652,           0.0037425,             0.73561,           0.0046008,           0.0017027,            0.020018,            0.014959,            0.045507,             0.00406,             0.00406,             0.00406
                  14,            0.010459,           0.0069377,            0.088809,           0.0037649,              0.7394,           0.0044853,           0.0016297,            0.019605,            0.014983,            0.045508,            0.003565,            0.003565,            0.003565
                  15,           0.0099443,           0.0068505,             0.08814,           0.0037634,             0.74006,           0.0043413,           0.0016283,            0.019885,            0.014814,            0.045551,             0.00307,             0.00307,             0.00307
                  16,            0.010219,            0.006843,            0.089351,           0.0037315,              0.7338,           0.0043346,           0.0016247,            0.020062,            0.015036,            0.045664,            0.002575,            0.002575,            0.002575
                  17,           0.0092022,           0.0066179,            0.085993,           0.0037632,             0.73918,           0.0044703,           0.0017102,            0.019775,            0.016029,            0.045756,             0.00208,             0.00208,             0.00208
                  18,           0.0095256,           0.0065901,            0.087365,           0.0037638,             0.73895,           0.0044339,           0.0016449,            0.019829,            0.015363,             0.04592,            0.001585,            0.001585,            0.001585
                  19,           0.0094588,           0.0066157,            0.087606,           0.0037775,             0.74048,           0.0044503,           0.0016124,             0.01972,            0.015597,            0.046116,             0.00109,             0.00109,             0.00109
